HOMO,r2,r3,a3,r4,a4,d4,r5,a5,d5,r6,a6,d6,r7,a7,d7,r8,a8,d8,r9,a9,d9,r10,a10,d10,r11,a11,d11,r12,a12,d12,r13,a13,d13,r14,a14,d14,r15,a15,d15,r16,a16,d16,r17,a17,d17,r18,a18,d18,r19,a19,d19,r20,a20,d20,r21,a21,d21,r22,a22,d22,r23,a23,d23,r24,a24,d24,r25,a25,d25,r26,a26,d26,r27,a27,d27,r28,a28,d28,r29,a29,d29,r30,a30,d30,r31,a31,d31,r32,a32,d32,r33,a33,d33,r34,a34,d34,r35,a35,d35,r36,a36,d36,r37,a37,d37,r38,a38,d38,r39,a39,d39,r40,a40,d40,r41,a41,d41,r42,a42,d42,r43,a43,d43,r44,a44,d44,r45,a45,d45,r46,a46,d46,r47,a47,d47,r48,a48,d48,r49,a49,d49
-0.1554,1.5555,1.512,111.22,1.5243,108.46,64.3,1.5212,113.95,310.19,1.3832,122.07,19.01,1.5093,124.11,179.66,1.3496,125.32,323.81,1.5015,125.65,182.04,1.356,117.08,177.86,1.4878,124.49,179.76,1.3459,120.32,180.59,1.4994,125.67,270.51,1.3544,117.15,180.51,1.48,124.38,179.94,1.5489,105.91,192.61,1.5486,110.25,75.45,1.5173,112.48,202.33,1.5184,123.01,357.5,1.5176,122.92,0.48,1.1145,110.51,118.51,1.1125,110.22,236.78,1.1115,110.9,183.91,1.109,110.22,303.0,1.112,106.09,187.88,1.1118,110.96,71.48,1.0752,115.84,149.64,1.0829,118.3,359.05,1.0881,118.72,359.91,1.0776,118.73,0.44,1.0882,117.31,89.0,1.0877,119.34,359.99,1.1119,110.69,302.81,1.1096,112.08,183.4,1.1116,110.59,62.89,1.1086,111.64,294.56,1.1088,111.81,174.5,1.1113,110.59,55.22,1.1105,108.74,52.14,1.1101,110.0,293.65,1.1002,115.98,167.46,1.1016,114.91,359.49,1.1105,109.52,239.78,1.1106,109.6,119.93,1.1021,114.57,0.13,1.1105,109.6,239.98,1.1106,109.57,120.16,1.0841,121.7,0.03,1.2202,119.67,180.06
-0.1554,1.5555,1.512,111.22,1.5243,108.46,64.3,1.5212,113.95,310.19,1.3832,122.07,19.01,1.5093,124.11,179.66,1.3496,125.32,323.81,1.5015,125.65,182.04,1.356,117.08,177.86,1.4878,124.49,179.76,1.3459,120.32,180.59,1.4994,125.67,270.51,1.3544,117.15,180.51,1.48,124.38,179.94,1.5489,105.91,192.61,1.5486,110.25,75.45,1.5173,112.48,202.33,1.5184,123.01,357.5,1.5176,122.92,0.48,1.1145,110.51,118.51,1.1125,110.22,236.78,1.1115,110.9,183.91,1.109,110.22,303.0,1.112,106.09,187.88,1.1118,110.96,71.48,1.0752,115.84,149.64,1.0829,118.3,359.05,1.0881,118.72,359.91,1.0776,118.73,0.44,1.0882,117.31,89.02,1.0877,119.34,359.99,1.1119,110.69,302.81,1.1096,112.08,183.4,1.1116,110.59,62.89,1.1086,111.64,294.56,1.1088,111.81,174.5,1.1113,110.59,55.22,1.1105,108.74,52.14,1.1101,110.0,293.65,1.1002,115.98,167.46,1.1016,114.91,359.49,1.1105,109.52,239.78,1.1106,109.6,119.93,1.1021,114.57,0.13,1.1105,109.6,239.98,1.1106,109.57,120.16,1.0841,121.7,0.03,1.2202,119.67,180.06
-0.1554,1.5555,1.512,111.22,1.5243,108.46,64.3,1.5212,113.95,310.19,1.3832,122.07,19.01,1.5093,124.11,179.66,1.3496,125.32,323.81,1.5015,125.65,182.04,1.356,117.08,177.86,1.4878,124.49,179.76,1.3459,120.32,180.59,1.4994,125.67,270.51,1.3544,117.15,180.51,1.48,124.38,179.94,1.5489,105.91,192.61,1.5486,110.25,75.45,1.5173,112.48,202.33,1.5184,123.01,357.5,1.5176,122.92,0.48,1.1145,110.51,118.51,1.1125,110.22,236.78,1.1115,110.9,183.91,1.109,110.22,303.0,1.112,106.09,187.88,1.1118,110.96,71.48,1.0752,115.84,149.64,1.0829,118.3,359.05,1.0881,118.72,359.91,1.0776,118.73,0.44,1.0882,117.31,89.04,1.0877,119.34,359.99,1.1119,110.69,302.81,1.1096,112.08,183.4,1.1116,110.59,62.89,1.1086,111.64,294.56,1.1088,111.81,174.5,1.1113,110.59,55.22,1.1105,108.74,52.14,1.1101,110.0,293.65,1.1002,115.98,167.46,1.1016,114.91,359.49,1.1105,109.52,239.78,1.1106,109.6,119.93,1.1021,114.57,0.13,1.1105,109.6,239.98,1.1106,109.57,120.16,1.0841,121.7,0.03,1.2202,119.67,180.06
-0.1555,1.5555,1.512,111.22,1.5243,108.46,64.3,1.5212,113.95,310.19,1.3832,122.07,19.01,1.5093,124.11,179.66,1.3496,125.32,323.81,1.5015,125.65,182.04,1.356,117.08,177.86,1.4878,124.49,179.76,1.3459,120.32,180.59,1.4994,125.67,270.51,1.3544,117.15,180.51,1.48,124.38,179.94,1.5489,105.91,192.61,1.5486,110.25,75.45,1.5173,112.48,202.33,1.5184,123.01,357.5,1.5176,122.92,0.48,1.1145,110.51,118.51,1.1125,110.22,236.78,1.1115,110.9,183.91,1.109,110.22,303.0,1.112,106.09,187.88,1.1118,110.96,71.48,1.0752,115.84,149.64,1.0829,118.3,359.05,1.0881,118.72,359.91,1.0776,118.73,0.44,1.0882,117.31,89.06,1.0877,119.34,359.99,1.1119,110.69,302.81,1.1096,112.08,183.4,1.1116,110.59,62.89,1.1086,111.64,294.56,1.1088,111.81,174.5,1.1113,110.59,55.22,1.1105,108.74,52.14,1.1101,110.0,293.65,1.1002,115.98,167.46,1.1016,114.91,359.49,1.1105,109.52,239.78,1.1106,109.6,119.93,1.1021,114.57,0.13,1.1105,109.6,239.98,1.1106,109.57,120.16,1.0841,121.7,0.03,1.2202,119.67,180.06
-0.1555,1.5555,1.512,111.22,1.5243,108.46,64.3,1.5212,113.95,310.19,1.3832,122.07,19.01,1.5093,124.11,179.66,1.3496,125.32,323.81,1.5015,125.65,182.04,1.356,117.08,177.86,1.4878,124.49,179.76,1.3459,120.32,180.59,1.4994,125.67,270.51,1.3544,117.15,180.51,1.48,124.38,179.94,1.5489,105.91,192.61,1.5486,110.25,75.45,1.5173,112.48,202.33,1.5184,123.01,357.5,1.5176,122.92,0.48,1.1145,110.51,118.51,1.1125,110.22,236.78,1.1115,110.9,183.91,1.109,110.22,303.0,1.112,106.09,187.88,1.1118,110.96,71.48,1.0752,115.84,149.64,1.0829,118.3,359.05,1.0881,118.72,359.91,1.0776,118.73,0.44,1.0882,117.31,89.08,1.0877,119.34,359.99,1.1119,110.69,302.81,1.1096,112.08,183.4,1.1116,110.59,62.89,1.1086,111.64,294.56,1.1088,111.81,174.5,1.1113,110.59,55.22,1.1105,108.74,52.14,1.1101,110.0,293.65,1.1002,115.98,167.46,1.1016,114.91,359.49,1.1105,109.52,239.78,1.1106,109.6,119.93,1.1021,114.57,0.13,1.1105,109.6,239.98,1.1106,109.57,120.16,1.0841,121.7,0.03,1.2202,119.67,180.06
-0.1555,1.5555,1.512,111.22,1.5243,108.46,64.3,1.5212,113.95,310.19,1.3832,122.07,19.01,1.5093,124.11,179.66,1.3496,125.32,323.81,1.5015,125.65,182.04,1.356,117.08,177.86,1.4878,124.49,179.76,1.3459,120.32,180.59,1.4994,125.67,270.51,1.3544,117.15,180.51,1.48,124.38,179.94,1.5489,105.91,192.61,1.5486,110.25,75.45,1.5173,112.48,202.33,1.5184,123.01,357.5,1.5176,122.92,0.48,1.1145,110.51,118.51,1.1125,110.22,236.78,1.1115,110.9,183.91,1.109,110.22,303.0,1.112,106.09,187.88,1.1118,110.96,71.48,1.0752,115.84,149.64,1.0829,118.3,359.05,1.0881,118.72,359.91,1.0776,118.73,0.44,1.0882,117.31,89.1,1.0877,119.34,359.99,1.1119,110.69,302.81,1.1096,112.08,183.4,1.1116,110.59,62.89,1.1086,111.64,294.56,1.1088,111.81,174.5,1.1113,110.59,55.22,1.1105,108.74,52.14,1.1101,110.0,293.65,1.1002,115.98,167.46,1.1016,114.91,359.49,1.1105,109.52,239.78,1.1106,109.6,119.93,1.1021,114.57,0.13,1.1105,109.6,239.98,1.1106,109.57,120.16,1.0841,121.7,0.03,1.2202,119.67,180.06
-0.1555,1.5555,1.512,111.22,1.5243,108.46,64.3,1.5212,113.95,310.19,1.3832,122.07,19.01,1.5093,124.11,179.66,1.3496,125.32,323.81,1.5015,125.65,182.04,1.356,117.08,177.86,1.4878,124.49,179.76,1.3459,120.32,180.59,1.4994,125.67,270.51,1.3544,117.15,180.51,1.48,124.38,179.94,1.5489,105.91,192.61,1.5486,110.25,75.45,1.5173,112.48,202.33,1.5184,123.01,357.5,1.5176,122.92,0.48,1.1145,110.51,118.51,1.1125,110.22,236.78,1.1115,110.9,183.91,1.109,110.22,303.0,1.112,106.09,187.88,1.1118,110.96,71.48,1.0752,115.84,149.64,1.0829,118.3,359.05,1.0881,118.72,359.91,1.0776,118.73,0.44,1.0882,117.31,89.12,1.0877,119.34,359.99,1.1119,110.69,302.81,1.1096,112.08,183.4,1.1116,110.59,62.89,1.1086,111.64,294.56,1.1088,111.81,174.5,1.1113,110.59,55.22,1.1105,108.74,52.14,1.1101,110.0,293.65,1.1002,115.98,167.46,1.1016,114.91,359.49,1.1105,109.52,239.78,1.1106,109.6,119.93,1.1021,114.57,0.13,1.1105,109.6,239.98,1.1106,109.57,120.16,1.0841,121.7,0.03,1.2202,119.67,180.06
-0.1555,1.5555,1.512,111.22,1.5243,108.46,64.3,1.5212,113.95,310.19,1.3832,122.07,19.01,1.5093,124.11,179.66,1.3496,125.32,323.81,1.5015,125.65,182.04,1.356,117.08,177.86,1.4878,124.49,179.76,1.3459,120.32,180.59,1.4994,125.67,270.51,1.3544,117.15,180.51,1.48,124.38,179.94,1.5489,105.91,192.61,1.5486,110.25,75.45,1.5173,112.48,202.33,1.5184,123.01,357.5,1.5176,122.92,0.48,1.1145,110.51,118.51,1.1125,110.22,236.78,1.1115,110.9,183.91,1.109,110.22,303.0,1.112,106.09,187.88,1.1118,110.96,71.48,1.0752,115.84,149.64,1.0829,118.3,359.05,1.0881,118.72,359.91,1.0776,118.73,0.44,1.0882,117.31,89.14,1.0877,119.34,359.99,1.1119,110.69,302.81,1.1096,112.08,183.4,1.1116,110.59,62.89,1.1086,111.64,294.56,1.1088,111.81,174.5,1.1113,110.59,55.22,1.1105,108.74,52.14,1.1101,110.0,293.65,1.1002,115.98,167.46,1.1016,114.91,359.49,1.1105,109.52,239.78,1.1106,109.6,119.93,1.1021,114.57,0.13,1.1105,109.6,239.98,1.1106,109.57,120.16,1.0841,121.7,0.03,1.2202,119.67,180.06
-0.1555,1.5555,1.512,111.22,1.5243,108.46,64.3,1.5212,113.95,310.19,1.3832,122.07,19.01,1.5093,124.11,179.66,1.3496,125.32,323.81,1.5015,125.65,182.04,1.356,117.08,177.86,1.4878,124.49,179.76,1.3459,120.32,180.59,1.4994,125.67,270.51,1.3544,117.15,180.51,1.48,124.38,179.94,1.5489,105.91,192.61,1.5486,110.25,75.45,1.5173,112.48,202.33,1.5184,123.01,357.5,1.5176,122.92,0.48,1.1145,110.51,118.51,1.1125,110.22,236.78,1.1115,110.9,183.91,1.109,110.22,303.0,1.112,106.09,187.88,1.1118,110.96,71.48,1.0752,115.84,149.64,1.0829,118.3,359.05,1.0881,118.72,359.91,1.0776,118.73,0.44,1.0882,117.31,89.16,1.0877,119.34,359.99,1.1119,110.69,302.81,1.1096,112.08,183.4,1.1116,110.59,62.89,1.1086,111.64,294.56,1.1088,111.81,174.5,1.1113,110.59,55.22,1.1105,108.74,52.14,1.1101,110.0,293.65,1.1002,115.98,167.46,1.1016,114.91,359.49,1.1105,109.52,239.78,1.1106,109.6,119.93,1.1021,114.57,0.13,1.1105,109.6,239.98,1.1106,109.57,120.16,1.0841,121.7,0.03,1.2202,119.67,180.06
-0.1555,1.5555,1.512,111.22,1.5243,108.46,64.3,1.5212,113.95,310.19,1.3832,122.07,19.01,1.5093,124.11,179.66,1.3496,125.32,323.81,1.5015,125.65,182.04,1.356,117.08,177.86,1.4878,124.49,179.76,1.3459,120.32,180.59,1.4994,125.67,270.51,1.3544,117.15,180.51,1.48,124.38,179.94,1.5489,105.91,192.61,1.5486,110.25,75.45,1.5173,112.48,202.33,1.5184,123.01,357.5,1.5176,122.92,0.48,1.1145,110.51,118.51,1.1125,110.22,236.78,1.1115,110.9,183.91,1.109,110.22,303.0,1.112,106.09,187.88,1.1118,110.96,71.48,1.0752,115.84,149.64,1.0829,118.3,359.05,1.0881,118.72,359.91,1.0776,118.73,0.44,1.0882,117.31,89.18,1.0877,119.34,359.99,1.1119,110.69,302.81,1.1096,112.08,183.4,1.1116,110.59,62.89,1.1086,111.64,294.56,1.1088,111.81,174.5,1.1113,110.59,55.22,1.1105,108.74,52.14,1.1101,110.0,293.65,1.1002,115.98,167.46,1.1016,114.91,359.49,1.1105,109.52,239.78,1.1106,109.6,119.93,1.1021,114.57,0.13,1.1105,109.6,239.98,1.1106,109.57,120.16,1.0841,121.7,0.03,1.2202,119.67,180.06
